site-create-desc,admin,"Create a Site and choose the Group and Gateway to add it to","Create a Site and choose the Group and Gateway to add it to",,"Crear un lugar y elegir el Grupo y Gateway para anadirlo a",,
site-create-title,admin,"Create Site","Create Site",,"Crear Site",,
site-delete-sure-desc,admin,"Warning: This CANNOT be undone","Warning: This CANNOT be undone",,"Advertencia: Esto no puede ser deshecho",,
site-delete-sure-help,admin,"Are you sure you want to delete the Site "":site""?","Are you sure you want to delete the Site "":site""?",,"Â¿Seguro que quieres eliminar el Lugar "":site""?",,
site-delete-sure-title,admin,"Delete Site","Delete Site",,"Eliminar Site",,
site-description-help,admin,"Enter a description of the Site including, for example, where the hardware is placed or who to contact","Enter a description of the Site including, for example, where the hardware is placed or who to contact",,"Escriba una descripcion del lugar, incluyendo, por ejemplo, donde se coloca el hardware o quien contactar",,
site-description-placeholder,admin,"Enter up to 64 characters","Enter up to 64 characters",,"Introduzca hasta 64 caracteres",,
site-edit,admin,"Edit Site","Edit Site",,"Editar Site",,
site-edit-desc,admin,"Fill in the form and save","Fill in the form and save",,"Rellene el formulario y guardar",,
site-edit-success,admin,":site has been edited",":site has been edited",,":site ha sido editado",,
site-gateways-help,admin,"Add this Gateway to this Site. This is a list of all the Gateways that have NO Site assigned. If you expect another Gateway maybe you need to add it.","Add this Gateway to this Site. This is a list of all the Gateways that have NO Site assigned. If you expect another Gateway maybe you need to add it.",,"Anadir esta entrada a este lugar. Esta es una lista de todas las puertas de enlace que no tienen asignado Site. Si esperas otra puerta de enlace, tal vez necesites anadirlo.",,
site-groups-help,admin,"Add this Site to this Group. A Group is the list of Sites a user will see on the Sites page.  Choose 'New Group' to create a new group with the same name and add the new Site to it.","Add this Site to this Group. A Group is the list of Sites a user will see on the Sites page.  Choose 'New Group' to create a new group with the same name and add the new Site to it.",,"Anadir este lugar a este grupo. Un grupo de la lista de Lugares de un usuario vera en la pagina de Lugares. Seleccione 'Nuevo grupo' para crear un nuevo grupo con el mismo nombre y anadir el nuevo lugar a ella. Vamos a anadir automaticamente este lugar al Grupo 1, el Grupo de sistema",,
site-id,admin,"Site ID","Site ID","Site ID","lugar ID",,
site-modules-help,admin,"Choose the Modules you would like to show on this Site. NB. You must have the hardware on this Site to allow a Module to work.","Choose the Modules you would like to show on this Site. NB. You must have the hardware on this Site to allow a Module to work.",,,,
site-name,admin,"Site Name","Site Name",NULL,"Nombre del lugar",,
site-name-help,admin,"Enter the name of the Site between 3 and 64 characters. Please note, if you have an account please add a site to that account, you don't need to register another account. You should only use numbers and letters but you can use symbols like brackets and quotes","Enter the name of the Site between 3 and 64 characters. Please note, if you have an account please add a site to that account, you don't need to register another account. You should only use numbers and letters but you can use symbols like brackets and quotes",,"Introduzca el nombre del lugar de entre 3 y 64 caracteres. Tenga en cuenta , si usted tiene una cuenta, por favor agregar un lugar a esa cuenta , no es necesario registrar otra cuenta. Solo debe utilizar numeros y letras pero se puede usar simbolos como soportes y citas.",,
site-name-placeholder,admin,"Enter between 2 and 64 characters","Enter between 2 and 64 characters",,"Introduzca entre 2 y 64 caracteres",,
site-new-group,admin,"New Group - Create a group with the same name","New Group - Create a group with the same name",,"Nuevo grupo - Crear un grupo con el mismo nombre",,
site-no-gateways-error,admin,"There are no Gateways to add to sites","There are no Gateways to add to sites",,"No hay puertas de enlace para anadir a los lugares",,
site-status-desc,admin,"Change the status of a Site","Change the status of a Site",,"Cambiar el estado de un lugar",,
site-status-no-id,admin,"There is no Site to set the status for","There is no Site to set the status for",,"No hay lugar para establecer el estado de",,
site-status-success,admin,"Changed the Site "":site"" status from :statusFrom to :statusTo","Changed the Site "":site"" status from :statusFrom to :statusTo",,"Se ha cambiado el lugar "":site"" estado de :statusFrom a :statusTo",,
site-status-sure-help,admin,"Are you sure you wish to change the status of the Site "":site"" from :statusFrom to :statusTo?","Are you sure you wish to change the status of the Site "":site"" from :statusFrom to :statusTo?",,"Â¿Seguro que desea cambiar el estado de la Sede "":site"" de :statusFrom a :statusTo?",,
site-status-title,admin,"Site Status","Site Status",,"Condicion Lugar de celebracion",,
sites,admin,Sites,Sites,,,,
sites-all,admin,"All Sites","All Sites",,"Todos los Lugares",,
sites-all-desc,admin,"Shows all the Sites on the system including inactive sites","Shows all the Sites on the system including inactive sites",,"Muestra todas las sedes en el sistema incluyendo lugares inactivos",,
sites-desc,admin,"Shows all the Sites you can manage. Click a Site to login to it","Shows all the Sites you can manage. Click a Site to login to it","Affiche la succession avec toutes les entreprises, sites et zones.","Muestra todas las sedes del Grupo. Haga clic en un lugar para acceder a ella",,
sites-help,admin,"Please click a sites to administer it.","Please click a sites to administer it.","Se il vous plaÃ‡Â©t cliquez sur un site de l'administrer.","Por favor, haga clic en un lugares para administrarlo.",,
social,admin,Social,Social,,,,
social-icons,admin,"Social Icons","Social Icons",,"Iconos Sociales",,
social-icons-help,admin,"Choose the social icons to give a Boost after login","Choose the social icons to give a Boost after login",,"Selecciona los iconos sociales muestran uno al Adjet",,
social-login-options,admin,"Social login options","Social login options",,,,
social-login-options-desc,admin,"Choose the social types a guest can log in with for this Portal","Choose the social types a guest can log in with for this Portal",,,,
something-wrong,admin,"Something worng happened !","Something worng happened !",,,,
spanish,admin,Spanish,Spanish,,Espaol,,
start-date,admin,"Start date","Start date","Date de dÃ‡Â¸but","Fecha de inicio",,
status,admin,Status,Status,,Estado,,
status-change-success,admin,"Successfully changed the status of  "":name"" to :status","Successfully changed the status of  "":name"" to :status",,"Cambiado con Ã©xito la condiciÃ³n de "":name"" a "":status""",,
status-sure-help,admin,"Are you sure you wish to change the status of  "":name"" from :statusFrom to :statusTo?","Are you sure you wish to change the status of  "":name"" from :statusFrom to :statusTo?",,"Â¿Seguro que desea cambiar la condiciÃ³n de "":name"" de :statusFrom a :statusTo?",,
success-added-permission,admin,"Added the permission","Added the permission","AjoutÃ‡Â¸ l'autorisation","Aadido el permiso",,
success-added-role,admin,"Added the role :role","Added the role :role","AjoutÃ‡Â¸ le rle :role","Aadido el papel :role",,
success-edit-role,admin,"Edited the role :role","Edited the role :role","ModifiÃ‡Â¸ le rle :role","Editado el papel :role",,
success-note-delete,admin,"You have deleted the note - :note","You have deleted the note - :note","Vous avez supprimÃ‡Â¸ la note :note","Ha eliminado la nota - :note",,
success-permissions-create,admin,"Re-created the permissions","Re-created the permissions","RecrÃ‡Â¸Ã‡Â¸ les autorisations","Re - creado los permisos",,
success-role-delete,admin,"You have deleted the role :role","You have deleted the role :role","Vous avez supprimÃ‡Â¸ le rle :role","Ha eliminado el papel :role",,
success-site-save,admin,"Site is successfully saved","Site is successfully saved",,,,
success-template,admin,"Added the template to the database. NB You MUST have created the template in the file system before you can use :template","Added the template to the database. NB You MUST have created the template in the file system before you can use :template","AjoutÃ‡Â¸ le modle  la base de donnÃ‡Â¸es . NB Vous devez avoir crÃ‡Â¸Ã‡Â¸ le modle dans le systme de fichiers avant que vous pouvez utiliser :template","Se ha aadido la plantilla a la base de datos. NB Debe haber creado la plantilla en el sistema de archivos antes de poder utilizar :template",,
success-template-delete,admin,"You have deleted the templates with ID :id","You have deleted the templates with ID :id","Vous avez supprimÃ‡Â¸ les modles avec ID:id","Ha eliminado las plantillas con el ID :id",,
success-template-edit,admin,"Edited the template :template","Edited the template :template","ModifiÃ‡Â¸ le modle :template","Editado la plantilla :template",,
success-template-status,admin,"You have changed the status of :template to :status","You have changed the status of :template to :status","Vous avez changÃ‡Â¸ le statut de :template pour :status","Ha cambiado el :template de plantilla a :status",,
support,admin,Support,Support,Soutien,Apoyo,,
support-desc,admin,"See the support information","See the support information","Voir les informations de support","Ver la informacin de soporte",,
surname,portal,Surname,Surname,,,,
surname-placeholder,portal,Surname,Surname,,,,
sys-admin-tools,admin,"Sys Admin Tools",,,,,
system,admin,System,System,,,,
system-desc,admin,"System level settings","System level settings","Paramtres de niveau de systme","Ajustes de nivel de sistema",,
system-messages-description,admin,"Showing Estate Messages",,,,,
system-messages-title,admin,"System Messages",,,,,
system-templates,admin,"System Templates","System Templates",,"Plantillas del sistema",,
system-users-description,admin,"Showing Admin Users you can manage","Showing Admin Users you can manage",,,,
system-users-title,admin,Users,Users,,,,
system|help,admin,"System > Help",,,,,
system|licenses,admin,"System > Licenses",,,,,
system|logs,admin,"System > Logs",,,,,
system|roles-and-permissions,admin,"System > Roles and Permissions","System > Roles and Permissions",,,,
system|status,admin,"System > Status",,,,,
system|users,admin,"System > users",System,,,,
technology,admin,Technology,Technology,,,,
template,admin,Template,Template,Modle,Plantilla,,
template-change-desc,admin,"Change the template for this session, NOT all time","Change the template for this session, NOT all time","Modifier le modle pour cette session, PAS tous les temps","Cambie la plantilla para esta sesin , NO todos los tiempos",,
template-change-success,admin,"You have changed template for this session to :template. Please logout and log back in to revert. Use your profile to change your Template permanently.","You have changed template for this session to :template. Please logout and log back in to revert. Use your profile to change your Template permanently.","Vous avez changÃ‡Â¸ :template pour cette session : modle. Se il vous plaÃ‡Â©t dÃ‡Â¸connecter et vous reconnecter pour revenir . Utilisez votre profil pour changer votre modle de faon permanente .","Ha cambiado la plantilla para esta sesin a: plantilla. Por favor, cerrar la sesin y volver a iniciarla para revertir . Utilice su perfil para cambiar su plantilla de forma permanente.",,
template-create,admin,"Create Template","Create Template",,"Crear Plantilla",,
template-create-desc,admin,"Create new system templates from here","Create new system templates from here","CrÃ‡Â¸er de nouveaux systmes modles d'ici","Crear nuevas plantillas del sistema de aqu",,
template-delete,admin,"Delete template","Delete template","Supprimer le modle","Eliminar plantilla",,
template-delete-id,admin,"Cannot delete a template without an ID","Cannot delete a template without an ID","Vous ne pouvez pas supprimer un modle sans ID","No se puede eliminar una plantilla sin un ID",,
template-edit,admin,"Edit template","Edit template","Modifier modle","Editar plantilla",,
template.create,admin,"Create Template","Create Template","CrÃ‡Â¸er un modle","Crear plantilla",,
templates,admin,Templates,Templates,Modles,Plantillas,,
templates-manage-desc,admin,"Manage system templates from here","Manage system templates from here","GÃ‡Â¸rer les modles de systme  partir d'ici","Administrar plantillas del sistema de aqu",,
terms-label,portal,"I accept the <a href=""/portal/guest/terms"" data-action=""terms"">terms and conditions</a>","I accept the <a href=""/portal/guest/terms"" data-action=""terms"">terms and conditions</a>",,,,
terms-title,portal,"Please accept the terms and conditions","Please accept the terms and conditions",,,,
text,admin,Text,Text,,,,
third-colour,admin,"Tertiary Colour","Tertiary Colour",,"Color Terciario",,
third-colour-help,admin,"Change the text colour of the AdJet","Change the text colour of the AdJet",,"Cambiar el color del texto de la Adjet",,
this-calendar-month,admin,"This Calendar Month","This Calendar Month",,"Este Calendario mes",,
time,admin,Time,Time,,,,
time-closing,admin,"Closing time","Closing time",,,,
time-end,admin,"End time","End time",,,,
time-opening,admin,"Opening time","Opening time",,,,
time-start,admin,"Start time","Start time",,,,
time-zone,admin,"Time Zone","Time Zone",,,,
timeout,admin,Timeout,Timeout,NULL,"Tiempo Fuera",,
timezone,admin,Timezone,Timezone,"Fuseau horaire","Zona Horaria",,
timezone.help,admin,"Choose the time this user will see from. You can search for your city e.g. search for London for Europe/London. The server is set to UTC and your local timezone will offset this","Choose the time this user will see from. You can search for your city e.g. search for London for Europe/London. The server is set to UTC and your local timezone will offset this",NULL,"Elige el momento este usuario ver desde . Usted puede buscar para su ciudad , por ejemplo, buscar Londres para Europa / Londres. El servidor est configurado a UTC y su zona horaria local compensar este",,
title,admin,Title,Title,,Ttulo,,
to,admin,To,To,,,,
to-activate,admin,"you want to activate ","you want to activate ",,,,
to-deactivate,admin,"you want to de-activate","you want to de-activate",,,,
to-delete,admin,"you want to delete","you want to delete",,,,
toggle-navigation,admin,"Toggle navigation","Toggle navigation",,"Navegacion toggle",,
toggle-shape,admin,"Toggle shape","Toggle shape",,,,
toggle-shape-desc,admin,"Toggle between square and circle","Toggle between square and circle",,,,
translation-csv,admin,"Translation CSV","Translation CSV",,"CSV Traduccion",,
translation-csv-help,admin,"Download the translation CSV, change it then re-upload with this form. The first line of the CSV is the titles and will be removed before adding into the database","Download the translation CSV, change it then re-upload with this form. The first line of the CSV is the titles and will be removed before adding into the database",,"Descargue el CSV traduccion, cambiarlo luego volver a subir con este formulario. La primera linea de la CSV es los titulos y se eliminara antes de anadir a la base de datos",,
translations,admin,Translations,Translations,,Traducciones,,
translations-desc,admin,"Upload/download a csv and a table of all the translations","Upload/download a csv and a table of all the translations",,"Carga / descarga de un csv y una tabla de todas las traducciones",,
translations-error-csv-type,admin,"Translation CSV must be a csv","Translation CSV must be a csv",,"CSV traduccin debe ser un csv",,
translations-saved-error,admin,"New translations FAILED","New translations FAILED",,"Nuevas traducciones FAILED",,
translations-saved-success,admin,"New translations saved successfully","New translations saved successfully",,"Nuevas traducciones guardado correctamente",,
twitter-name,admin,"Twitter name","Twitter name",,"Nombre de Twitter",,
twitter-profile-image,admin,"Twitter profile image","Twitter profile image",,"Imagen de perfil de Twitter",,
type,admin,Type,Type,Type,Tipo,,
up-on-yesterday,admin,"Up on yesterday","Up on yesterday",,"Hasta el dia de ayer",,
updated,admin,Updated,Updated,,,,
upload,admin,Upload,Upload,TÃ‡Â¸lÃ‡Â¸charger,Subir,,
upload-icon,admin,"Upload Icon","Upload Icon",,"Subir Icono",,
upload-icon-add,admin,"Add Another Custom Icon","Add Another Custom Icon",,"Anadir otro icono personal",,
upload-icon-help,admin,"Upload the icon you wish to add bettween 64px square and 100px square, next add a title the Guest will see when they mouse-over the Icon, lastly add a valid URL the Guest will be sent to. The URL clicks are tracked and in the reports.","Upload the icon you wish to add bettween 64px square and 100px square, next add a title the Guest will see when they mouse-over the Icon, lastly add a valid URL the Guest will be sent to. The URL clicks are tracked and in the reports.",,"Sube el icono que desea anadir a la Adjet con un enlace valido",,
upload-image,admin,"Upload Image","Upload Image",,"Cargar Imagen",,
upload-image-error,admin,"You must upload an image","You must upload an image",,"Usted debe cargar una imagen",,
upload-k,admin,"k Upload","k Upload",NULL,"k Subir",,
upload-mb,admin,"Mb Upload","Mb Upload",NULL,"Mb Subir",,
upload-translation-csv-link,admin,"Click for the upload translation CSV form","Click for the upload translation CSV form",,"Haga clic para el formulario CSV traduccion de subida",,
usage,admin,Usage,Usage,,,,
user,admin,User,User,Utilisateur,Usuario,,
user-all,admin,"All Users","All Users",NULL,"Todos Los Usuarios",,
user-all-desc,admin,"Table of all users on the system","Table of all users on the system",NULL,"Tabla de todos los usuarios en el sistema",,
user-create,admin,"Create User","Create User",NULL,"Crear usuario",,
user-create-desc,admin,"Add a new admin user to the system","Add a new admin user to the system",NULL,"Aadir un nuevo usuario administrador del sistema",,
user-created-success,admin,"New user :email has been created","New user :email has been created",,"Nuevo usuario :email ha sido creado",,
user-desc,admin,"Table of users you can edit","Table of users you can edit",NULL,"Tabla de usuarios puede editar",,
user-edit,admin,"Edit User","Edit User","Modifier l'utilisateur","Editar usuario",,
user-manage,admin,"Manage Users","Manage Users","GÃ‡Â¸rer les utilisateurs","Administrar usuarios",,
user-name,admin,"User Name","User Name",,,,
user-not-exist-error,admin,":email does not exist in the system",":email does not exist in the system",,":email no existe en el sistema",,
user-not-valid,admin,":email is not valid",":email is not valid",,":email  no es valida",,
user-profile-desc,admin,"To change your profile image please use <a href=""http://www.gravatar.com/"" target=""_blank"">Gravatar</a>","To change your profile image please use <a href=""http://www.gravatar.com/"" target=""_blank"">Gravatar</a>","Pour modifier votre image de profil se il vous plaÃ‡Â©t utiliser <a href=""http://www.gravatar.com/"" target=""_blank"">Gravatar</a>","Para cambiar su imagen de perfil por favor, utilice <a href=""http://www.gravatar.com/"" target=""_blank"">Gravatar</a>",,
user-register-success,admin,"Your User has been created, Site has been added and your Gateway has been added to your Site.","Your User has been created, Site has been added and your Gateway has been added to your Site.",,"Tu usuario ha sido creada, Sede se ha agregado y el Gateway ha sido anadido a su lugar.",,
user-status-update,admin,"Status updated for user ID:","Status updated for user ID:","Etat mis  jour pour l'utilisateur ID:","Estado actualizado para la ID de usuario :",,
username,admin,Username,Username,NULL,"Nombre de usuario",,
users,admin,Users,Users,,,,
users-description,admin,"Showing all Admin Users in the system","Showing all Admin Users in the system",,,,
users-title,admin,"All Users","All Users",,,,
version,admin,Version,Version,,Version,,
video-url,admin,"Video URL","Video URL",,"URL del vdeo",,
video-url-help,admin,"Enter the URL for the video you wish to show on the AdJet","Enter the URL for the video you wish to show on the AdJet",,"Introduzca la URL del vdeo que desea mostrar en la Adjet",,
video-url-placeholder,admin,"Enter a fully formatted URL e.g. https://youtu.be/gAooIucbkD0","Enter a fully formatted URL e.g. https://youtu.be/gAooIucbkD1",,"Introduzca una URL en su formato original, por ejemplo https://youtu.be/gAooIucbkD0",,
view,admin,View,View,Vue,vista,,
voucher-options,admin,"Voucher Options","Voucher Options",,,,
voucher-options-desc,admin,"Allow the guest to login with a Voucher code","Allow the guest to login with a Voucher code",,,,
voucher-options-note,admin,"To find out about the Vouchers that have been issued, to create more or to edit your Voucher design go to the Voucher section after you have saved this Portal","To find out about the Vouchers that have been issued, to create more or to edit your Voucher design go to the Voucher section after you have saved this Portal",,,,
vouchers,admin,Vouchers,Vouchers,,,,
warning,admin,Warning,Warning,Avertissement,Advertencia,,
welcome,admin,Welcome,Welcome,,Bienvenida,,
welcome-description-help,admin,"Enter the text for the link the guest will see allowing them to logout, the default is 'Not you? Click here to logout'","Enter the text for the link the guest will see allowing them to logout, the default is 'Not you? Click here to logout'",,,,
welcome-description-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
welcome-override-content-desc,admin,"To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.","To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.",,,,
welcome-title-help,admin,"The Welcome title default is '- Welcome Back -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, don't forget the multilingual!","The Welcome title default is '- Welcome Back -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, don't forget the multilingual!",,,,
welcome-title-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
widget-boost-desc,admin,"Number of guests that have upgraded by boosting","Number of guests that have upgraded by boosting",,"Numero de personas que han mejorado al aumentar",,
widget-boost-help,admin,"Number of guests that have upped their bandwidth through boosting. Click on the buttons above to see the different dates.","Number of guests that have upped their bandwidth through boosting. Click on the buttons above to see the different dates.",,"Numero de personas que han subido hay ancho de banda a travs de impulsar . Haga clic en los botones de arriba para ver las distintas fechas.",,
widget-boost-title,admin,"Boosted guests","Boosted guests",,"impulsado huespedes",,
widget-female-guests-desc,admin,"Number of guests that are female of :number guests we have gender data for","Number of guests that are female of :number guests we have gender data for",,"Numero de personas que estan femenina de :number invitados tenemos datos de genero para",,
widget-female-guests-desc2,admin,"Number of guests that are female on this Site","Number of guests that are female on this Site",,"Numero de personas que son de sexo femenino en este Lugar",,
widget-female-guests-help,admin,"Number of guests that are female we have data for on the system over all time. The data comes from many sources including social and the name.","Number of guests that are female we have data for on the system over all time. The data comes from many sources including social and the name.",,"Numero de personas que son mujeres tenemos datos para el sistema a traves de todos los tiempos. Los datos provienen de muchas fuentes, incluyendo social y el nombre.",,
widget-female-guests-title,admin,"Female guests","Female guests",,Invitadas,,
widget-guest-pie-desc,admin,"Breakdown of premium, boosted and free guests","Breakdown of premium, boosted and free guests",,"Desglose de las primas , impulsado y gratuitas huespedes",,
widget-guest-pie-help,admin,"Breakdown of premium, boosted and free guests over the last 24 hours","Breakdown of premium, boosted and free guests over the last 24 hours",,"Desglose de las primas, impulsado y los huespedes gratis durante las ultimas 24 horas",,
widget-guests-new-desc,admin,"Number of new guests","Number of new guests",,"Numero de nuevos clientes",,
widget-guests-new-help,admin,"Number of new guests. Click on the buttons above to see the different dates","Number of new guests. Click on the buttons above to see the different dates",,"Numero de nuevos huespedes. Haga clic en los botones de arriba para ver las distintas fechas",,
widget-guests-online-now-table,admin,"Guests online now","Guests online now",,"Invitados online ahora",,
widget-guests-online-now-table-desc,admin,"NB. The data in this table could be up to 20 minutes out as it is cached","NB. The data in this table could be up to 20 minutes out as it is cached",,"NB. Los datos de este cuadro podria ser de hasta 20 minutos fuera, ya que es en cache",,
widget-guests-total-desc,admin,"Number of guests over all time (including returning)","Number of guests over all time (including returning)",,"Numero de personas durante todo el tiempo (incluyendo volver)",,
widget-guests-total-help,admin,"Number of guests that have been on the system over all time. Guest that have returned are counted again","Number of guests that have been on the system over all time. Guest that have returned are counted again",,"Numero de personas que han estado en el sistema a traves de todos los tiempos. Invitado que han regresado se cuentan de nuevo",,
widget-guests-total-title,admin,"Total guests","Total guests",,"Invitados totales",,
widget-internet-quality-help,admin,"Each hour the hardware will test the connection and the number of seconds it takes to get beck is shown here.","Each hour the hardware will test the connection and the number of seconds it takes to get beck is shown here.",,"Cada hora el hardware sera probar la conexion y el numero de segundos que tarda en llegar beck se muestra aqui. Haga clic para ver la pagina de informes de puerta de enlace.",,
widget-internet-quality-title,admin,"Internet quality <small>Hourly graph showing the quality of your internet, lower the better</small>","Internet quality <small>Hourly graph showing the quality of your internet, lower the better</small>",,"La calidad de Internet <small>Grafico por hora que muestra la calidad de su conexion a Internet, baje el mejor</small>",,
widget-male-guests-desc,admin,"Number of guests that are male of :number guests we have gender data for","Number of guests that are male of :number guests we have gender data for",,"Numero de personas que son de sexo femenino de los huespedes :name tenemos datos de genero para",,
widget-male-guests-desc2,admin,"Number of guests that are male on this Site","Number of guests that are male on this Site",,"Numero de personas que son de sexo masculino en este Lugar",,
widget-male-guests-help,admin,"Number of guests that are male we have data for on the system over all time. The data comes from many sources including social and the name.","Number of guests that are male we have data for on the system over all time. The data comes from many sources including social and the name.",,"Numero de personas que son masculinos tenemos datos para el sistema a traves de todos los tiempos. Los datos provienen de muchas fuentes, incluyendo social y el nombre.",,
widget-male-guests-title,admin,"Male guests","Male guests",,"Invitados masculinos",,
widget-resite-desc,admin,"Resite generated for :site","Resite generated for :site",,"Los ingresos generados por :site",,
widget-resite-help,admin,"Resite generated for this site for all AdJets. Click on the buttons above to see the different dates.","Resite generated for this site for all AdJets. Click on the buttons above to see the different dates.",,"Los ingresos generados por este lugar para todos AdJets . Haga clic en los botones de arriba para ver las distintas fechas.",,
widget-social-help,admin,"The number of guests that have logged in via the social type over all time. Click to see the guests report page","The number of guests that have logged in via the social type over all time. Click to see the guests report page",,"El numero de personas que han iniciado sesion en medio del tipo social sobre todos los tiempos. Haga clic para ver la pagina del informe invitados",,
widget-social-none,admin,"There are no logged social guests yet, come back soon.","There are no logged social guests yet, come back soon.",,"No hay invitados sociales registrados, sin embargo, volver pronto.",,
widget-social-pie-help,admin,"Guests that have boosted by social over all time","Guests that have boosted by social over all time",,"Los clientes que han impulsado por social sobre todos los tiempos",,
widget-social-pie-title,admin,"Social <small>Guests boosted by social</small>","Social <small>Guests boosted by social</small>",,"Social <small>Los huespedes impulsadas por factores sociales</small>",,
widget-social-title,admin,"Social breakdown","Social breakdown",,"Desglose Social",,
widget-speed-desc,admin,"Click the button to run a speed test. This will take a few moments.","Click the button to run a speed test. This will take a few moments.",,"Haga clic en el boton para ejecutar una prueba de velocidad. Esto tomara unos minutos.",,
widget-speed-doing,admin,"We are running a speed test, this might take a few moments.","We are running a speed test, this might take a few moments.",,"Estamos corriendo una prueba de velocidad, esto puede tardar unos instantes.",,
widget-speed-help,admin,"Click the button to run a speed test. A speed test will contact your gateway and ask it to upload and download some files timing them. We will then show the results. This will take a few moments and will show the results on 2 dials.","Click the button to run a speed test. A speed test will contact your gateway and ask it to upload and download some files timing them. We will then show the results. This will take a few moments and will show the results on 2 dials.",,"Haga clic en el boton para ejecutar una prueba de velocidad. Una prueba de velocidad se comunicara con su puerta de entrada y le pedira que cargar y descargar algunos archivos de temporizacion ellos. A continuacion, se muestran los resultados . Esto tomara unos minutos y mostrara los resultados en 2 cuadrantes .",,
widget-speed-link,admin,"Click for a speed test","Click for a speed test",,"Haga clic para una prueba de velocidad",,
widget-speed-link2,admin,"Click for a new speed test","Click for a new speed test",,"Haga clic para una nueva prueba de velocidad",,
widget-speed-title,admin,"Speed test","Speed test",,"Prueba de velocidad",,
widgets,admin,Widgets,Widgets,,,,
widgets-active,admin,"All widgets are active","All widgets are active",,,,
widgets-edit-desc,admin,"Drag widgets onto the grid to activate. Click x to make inactive","Drag widgets onto the grid to activate. Click x to make inactive",,,,
widgets-loading-desc,admin,"One moment ...","One moment ...",,,,
widgets-loading-title,admin,"Rebuilding your widgets experience","Rebuilding your widgets experience",,,,
width,admin,Width,Width,,,,
wrong-site-dashboard,admin,"Wrong site ID sent to dashboard","Wrong site ID sent to dashboard",,,,
yes,admin,Yes,Yes,Oui,Si,,
yes-please,admin,"Yes, Please!","Yes, Please!",,,,
your-content-here,admin,"Your content here","Your content here",,,,
